article,word,tf,idf,tfidf,count,pos,ngd功效,ngd品牌,rank_page
3,好菌,0.00797607,4.08231542,0.03256084,8,n,0.65906116,0.58966176,1
3,菌叢,0.00398804,5.14976852,0.02053746,4,n,0.85737876,0.83124838,1
3,體質,0.00498504,3.4235074,0.01706634,5,n,0.58860421,0.61001802,1
3,排便順暢,0.00398804,4.60161424,0.0183514,4,n,0.71150154,0.70652406,1
3,胃酸,0.00498504,3.81865421,0.01903616,5,n,0.69298344,0.8003059,1
3,濃度,0.00598205,3.81058315,0.02279511,6,n,0.75441665,0.71941583,1
3,包埋,0.00697906,5.0450223,0.03520953,7,v,0.59754513,0.45104169,1
3,技術,0.00697906,2.66793969,0.01861972,7,n,0.85275936,0.54899102,1
3,益生菌品牌,0.00498504,5.59912434,0.02791189,5,n,0.63282381,0.52086583,1
3,菌株,0.0109671,3.82027627,0.04189735,11,n,0.85506431,0.84921757,1
3,產品,0.01595214,1.72833347,0.02757062,16,n,0.51295934,0.36098636,1
3,Enterococcus,0.00398804,6.79033609,0.0270801,4,eng,1.27376425,1.17085305,1
3,編碼,0.00997009,6.38910978,0.0637,10,n,0.69171195,0.4260579,1
3,專利,0.00797607,3.12065739,0.02489059,8,n,0.8390589,0.59322492,1
3,研發,0.00498504,3.51489505,0.01752191,5,v,0.66151558,0.36650156,1
3,消化道,0.00598205,3.74825779,0.02242228,6,n,0.64404624,0.69556414,1
3,乳酸菌,0.00797607,2.14488171,0.01710773,8,n,0.88168701,0.74550043,1
3,檢驗,0.00498504,3.17876497,0.01584629,5,v,0.70894735,0.44633388,1
3,300億機能益生菌,0.00398804,8.1589714,0.03253827,4,n,0.78357842,0.72915984,1
3,膠原蛋白,0.00498504,3.01368535,0.01502336,5,n,0.50254785,0.51836936,1
3,尿酸,0.00498504,4.3913195,0.02189092,5,n,0.77094785,0.79683911,1
4,腸胃,0.01,2.81104046,0.0281104,6,n,0.55106069,0.57673102,1
4,藥師,0.00833333,4.84535763,0.04037798,5,n,0.78207818,0.75651061,1
4,產品,0.01666667,1.72833347,0.02880556,10,n,0.51295934,0.36098636,1
4,不適,0.01333333,3.63013929,0.04840186,8,a,0.64060869,0.65145376,1
4,症狀,0.00833333,3.47618058,0.02896817,5,n,0.42801503,0.43775402,1
4,民眾,0.00666667,3.37867603,0.02252451,4,n,0.91848666,0.61455937,1
4,藥品,0.01333333,3.14514839,0.04193531,8,n,0.50502949,0.36086484,1
4,醫師,0.00666667,3.2965479,0.02197699,4,n,0.77360268,0.67970899,1
4,治療,0.00833333,3.12875459,0.02607295,5,v,0.58827882,0.57181486,1
4,菌株,0.00666667,3.82027627,0.02546851,4,n,0.85506431,0.84921757,1
